Abutilon theophrasti
Triglochin maritima
Tussilago farfara
Ulmus americana
Ulmus sp.
Urtica dioica
Urtica sp.
Utricularia cornuta
Utricularia intermedia
Utricularia macrorhiza
Utricularia sp.
Utricularia vulgaris
Vaccinium angustifolium
Vaccinium cespitosum
Vaccinium marcocarpon
Vaccinium sp.
Vaccinium nubigenum
Vaccinium ovalifolium
Vaccinium oxycoccus
Vaccinium uliginosum
Vaccinium vitis-idaea
Valeriana dioica
Valeriana sp.
Valeriana officinalis
Valeriana septentrionalis
Verbascum thapsus
Verbena hastata
Veronica americana
Veronica chamaedrys
Veronica longifolia
Veronica sp.
Veronica officinalis
Veronica peregina
Veronica persica
Veronica scutellata
Veronica serpyllifolia
Viburnum alnifolium
Viburnum cassinoides
Viburnum edule
Viburnum lantana
Viburnum opulus
Viburnum sp.
Viburnum trilobum
Vicia angustifolia
Vicia cracca
Vicia sativa
Vicia sepium
Viola adunca
Viola arvensis
Viola blanda
Viola conspersa
Viola cucullata
Viola incognita
Viola labradorica
Viola macloskeyi
Viola sp.
Viola nephrophylla
Viola nuttallii
Viola pallens
Viola palustris
Viola pubescens
Viola renifolia
Vitis riparia
Weigela sp.
Xanthium strumarium
